,count,mean,std,min,25%,50%,75%,max,cv,iqr
PT_PREP,145.00,19.17,5.44,10.00,16.00,18.00,22.00,48.00,0.28,6.00
ACCESS,145.00,5.36,2.20,2.00,4.00,5.00,6.00,17.00,0.41,2.00
TSP,145.00,5.39,4.82,2.00,3.00,4.00,6.00,37.00,0.89,3.00
PRE_MAP,145.00,2.02,3.96,1.00,1.00,1.00,2.00,48.00,1.96,1.00
ABL_DURATION,145.00,24.03,9.27,12.00,18.00,22.00,28.00,95.00,0.39,10.00
ABL_TIME,145.00,7.41,1.10,5.00,6.65,7.00,8.00,10.50,0.15,1.35
LA_DWELL,145.00,25.58,10.58,12.00,19.00,23.00,29.00,103.00,0.41,10.00
POST_CARE,144.00,14.68,3.64,8.00,12.00,14.00,16.00,33.00,0.25,4.00
CASE_TIME,145.00,40.73,17.39,17.00,30.00,37.00,45.00,159.00,0.43,15.00
SKIN_SKIN,145.00,45.96,17.39,27.00,35.00,42.00,51.00,165.00,0.38,16.00
PT_IN_OUT,145.00,79.32,21.24,49.00,66.00,74.00,89.00,204.00,0.27,23.00
